posta,kraj
1,Mananjary
2,Caibarién
3,Paris 12
4,Sidomulyo
5,Hushan
6,P’rimorsk’oe
7,Aiguo
8,Nihommatsu
9,Miami
10,Paiçandu
11,Huangshi
12,Severo-Yeniseyskiy
13,Yaodu
14,Banjaranyar
15,Windsor
16,Tentúgal
17,Galovac
18,Kuhmo
19,Tuoshi
20,Ambarakaraka
21,Khanabad
22,Vale de Mendiz
23,Bunigeulis
24,Oleksandriya
25,Cipadung Timur
26,Kraczkowa
27,Kotakaya Dua
28,Kungälv
29,Maebaru
30,Huangdu
31,Tōbetsu
32,Jibiya
33,Sicaya
34,Novoaleksandrovsk
35,Santa Marta de Penaguião
36,Quime
37,Qandala
38,Guanmian
39,Pappádos
40,Buenavista
41,Lees Summit
42,Cachoeirinha
43,Jiangqiao
44,Chicago
45,Formosa do Rio Preto
46,Yangmadao
47,Zhongshangang
48,Maruoka
49,Biguo
50,Ad Dawādimī
51,Achada
52,Fucha
53,Eksjö
54,Pangkalan
55,Ar Riqqah
56,Upi
57,Dokolo
58,Beausejour
59,Silveiros
60,Sruki
61,Pataias
62,Pinheiral
63,Doba
64,Boawae
65,Freiria
66,Guanfang
67,Bromma
68,Debrecen
69,Baliuag
70,Amarillo
71,Tamboril
72,Hejia
73,Aţ Ţaybah
74,Tungipāra
75,Dachun
76,Rio Pardo
77,Mamali
78,Pho Thong
79,Tayabamba
80,Tariji
81,El Paso
82,Kenyau
83,Promissão
84,Västerås
85,Ban Lam Luk Ka
86,Cam Ranh
87,Pantang
88,Dayang
89,Xindian
90,Zhuanshui
91,Bromma
92,Akhaldaba
93,São Roque
94,Barkā’
95,Daliuhao
96,Kaduranca
97,Sukarame
98,Varāmīn
99,Xinjiezhen
100,Az Zubaydāt
101,Ainaži
102,Coari
103,El Obeid
104,Beaufort
105,Bošnjaci
106,Oytal
107,Pitai
108,Smedjebacken
109,Jiujianfang
110,Yuty
111,Būrkah
112,Hema
113,Longtan
114,Pelasgía
115,Negotin
116,Nova Lima
117,El Soberbio
118,Kinshasa
119,Tangchi
120,Tanxi
121,Santa Catalina
122,Yunlu
123,Xibu
124,Tutnae
125,Antalaha
126,Nanjin
127,Nonggunong
128,Umeå
129,Makariv
130,Linjiang
131,Baishan
132,Bagiktinggang
133,Luar
134,Cikuda
135,Rassvet
136,Itacoatiara
137,Alannay
138,Žďár nad Sázavou Druhy
139,Nouméa
140,Sar Chakān
141,Imider
142,Issy-les-Moulineaux
143,Wobulenzi
144,Borisovka
145,Oslo
146,Sugihwaras
147,Barat
148,Huangcun
149,Masākin
150,La Jagua de Ibirico
151,Verenchanka
152,Zebrzydowice
153,Takanini
154,Primošten
155,Tlumach
156,Ladozhskaya
157,Anchorage
158,Luodong
159,Damiku
160,Banjar Sembunggede
161,Hendala
162,Wanmao
163,Lanas
164,Pedro Betancourt
165,Segong
166,Buffalo
167,Segovia
168,Saint-Jean-de-Braye
169,Saint-Sauveur
170,Xitianwei
171,Varakļāni
172,Wringinputih
173,Salam
174,Anzhero-Sudzhensk
175,Tabasalu
176,Moss
177,Rybinsk
178,Kafir Qala
179,Muskegon
180,Gouménissa
181,Soacha
182,Stupino
183,Tambir
184,Detroit
185,Baizhu
186,Ndewel
187,Klatovy
188,Dunhua
189,Lanpelan
190,Arinos
191,Roissy Charles-de-Gaulle
192,Sinegorskiy
193,La Laja
194,Kopashnovo
195,Jhingergācha
196,Sarilhos Grandes
197,Luniao
198,Czarków
199,Xiwang
200,Tulsa
201,Krasnomayskiy
202,Jingcheng
203,Avignon
204,Río Ceballos
205,Konso
206,Guagua
207,Karangbalong
208,Licheng
209,Kelburn
210,Abengourou
211,Escuintla
212,T’azagyugh
213,Mahdia
214,Saltsjö-Boo
215,Lepoglava
216,Tor
217,Hongjiang
218,Koronadal
219,Noupoort
220,Kučevo
221,Longmen
222,Solotcha
223,San Enrique
224,Garnich
225,Tupã
226,Raejeru
227,Xinning
228,Marka
229,Ntoke
230,Palanas
231,18 de Marzo
232,Cergy-Pontoise
233,Jāwā
234,Santo Estêvão
235,Kisarazu
236,Mozhong
237,Kaznějov
238,Gayam
239,Tunjuk Selatan
240,Harrisburg
241,Shuiquan
242,Il’inskiy
243,Wutumeiren
244,Belica
245,Tsaritsyno
246,Toulon
247,Szydłowo
248,Newark
249,Wakefield
250,Preserje pri Radomljah
251,Polonnaruwa
252,Rio Claro
253,Santa Helena de Goiás
254,Örebro
255,Marcovia
256,Lugo
257,Larache
258,Banyulegi
259,Yanling
260,Rajhradice
261,Liushui
262,Sinarbakti
263,Starominskaya
264,Sam Khok
265,Wonorejo
266,Librazhd
267,Cikai
268,Pakapasan Girang
269,Lao Suea Kok
270,Valle San Francisco
271,Espinheira
272,Bagikkedok Lauk
273,Creil
274,San Simon
275,Mós
276,Tumbagaan
277,Lidingö
278,Staraya Derevnya
279,Łeba
280,San Marcos
281,Kokopo
282,Sanyang
283,Staré Město
284,Solsona
285,Dongji
286,Beskolen
287,Tullich
288,Sali
289,Phalaborwa
290,Caihua
291,Embu
292,Gardanne
293,Villa Castelli
294,Lawa-an
295,Karlshamn
296,Dali
297,Youghal
298,Odessa
299,Liusi
300,Qiaobian
301,Irshava
302,Myski
303,Kaduela
304,Dong’an
305,San Miguelito
306,Xiakouyi
307,Albany
308,Storvreta
309,Meipu
310,Täby
311,Sernancelhe
312,Panjakent
313,Entre Rios
314,Cà Mau
315,Shuitianzhuang
316,Labuan
317,Torre
318,Barra do Corda
319,Frederiksberg
320,Longar
321,Saint-Louis du Sud
322,Bancroft
323,Santiago de Subrrifana
324,Rennes
325,Xumu
326,Sukasada
327,Vacenovice
328,Pecka
329,Huangzhawan
330,Jinchang
331,Matanza
332,Wairinding
333,La Libertad
334,Emiliano Zapata
335,Leping
336,Xianlong
337,Nässjö
338,Valdosta
339,Licheń Stary
340,Afántou
341,Kibre Mengist
342,Saltpond
343,Jackson
344,Fatukanutu
345,Zavidovo
346,Rakitnoye
347,Hoit Taria
348,Kotingnatagete
349,Imsida
350,Skorogoszcz
351,Göteborg
352,Thị Trấn Lâm
353,Baranti
354,Oslo
355,Biasong
356,Senj
357,Nanzhihui
358,Damulog
359,La Cruz
360,Otacílio Costa
361,Nanwai
362,Auxerre
363,Businga
364,Macinhata da Seixa
365,Freetown
366,Bayt Liqyā
367,Krajan Bejagung
368,Dayan
369,Dourados
370,Ipoh
371,Aasiaat
372,Verd
373,Huyuan
374,Napier
375,Vallauris
376,Zhendong
377,Kut Bak
378,Chicago
379,Dayton
380,Sambava
381,Las Americas
382,Bongued
383,Haozhai
384,Cimara
385,Caikouji
386,Saint Augustine
387,Kladi
388,Viedma
389,Velké Opatovice
390,Kasli
391,Yabēlo
392,Zhufo
393,Mujur
394,Poříčany
395,Obrera
396,Beaverlodge
397,Songshu
398,Lérida
399,Orléans
400,Mar del Plata
401,San Miguel
402,Tver
403,Girijaya
404,Panyuran
405,Lagayan
406,Binagadi
407,Biryukove
408,Vratsa
409,Rognedino
410,Hevlín
411,Villeneuve-d'Ascq
412,Xiaojia
413,Jiangkou
414,Tazarine
415,Slavyanovo
416,Ludishan
417,Yushikalasu
418,Xin Bulag
419,Puubheto
420,Heshan
421,Grujugan
422,Köln
423,Villa Yapacaní
424,Patnongon
425,Zhenqiao
426,Mehona
427,Maoshan
428,Indulang
429,Lewolen
430,Skhirat
431,Sindangjawa
432,Shaba Zhen
433,Prengtale
434,Binangun
435,Jinggan
436,Kafue
437,Datar
438,Murzuq
439,Jasugih Selatan
440,Abang
441,Jinsheng
442,Bílovec
443,High Prairie
444,Pangnirtung
445,Sobradinho
446,Sudimoro
447,Castro Barros
448,Wringinputih
449,Solna
450,Xinzhou
451,Daja
452,Nyzhni Sirohozy
453,Svetogorsk
454,Annaka
455,Garmo
456,La Cruz
457,Mendefera
458,Osório
459,København
460,Amparita
461,Kut Chum
462,Kalangala
463,Buin
464,Nove-Misto
465,Codrington
466,Błonie
467,Gongming
468,Maoping
469,Klyuchevskiy
470,Guyam Malaki
471,Curahnongko
472,Maumere
473,Pagsabangan
474,Anambongan
475,Puqian
476,Pas Pul
477,Gjegjan
478,Leuwihalang
479,Aucayacu
480,Xubao
481,Daping
482,Rongdoi
483,Protección
484,Vedène
485,Charlotte
486,Anren
487,Suyo
488,Měnín
489,Dasht-e Qal‘ah
490,Oslo
491,Izobil’nyy
492,Buchou
493,Eloúnda
494,Chishtiān Mandi
495,Oebaki
496,Saint George's
497,Zhengchang
498,Xuanhua
499,Qixia
500,Sindangrasa
501,Yonghe
502,Cihaur
503,Al Ghayl
504,Belmopan
505,Casilda
506,Neskaupstaður
507,Igreja
508,Cikiruh Wetan
509,Korniyivka
510,Weyburn
511,Placetas
512,Los Dos Caminos
513,Pácora
514,Cibugel
515,Zangbawa
516,Xiaping
517,Barrosas
518,Le Pontet
519,Tubod
520,Castleknock
521,Santo Tomé
522,Ojo de Agua
523,Paarl
524,Sittwe
525,Shiraoka
526,Novozybkov
527,Várzea
528,Al Ḩāmūl
529,Lhuentse
530,Cangkreng
531,Soufrière
532,Albi
533,Jinshan
534,Talangbetutu
535,Valkeakoski
536,Yulin
537,Jingling
538,Kafr Zaytā
539,Bastan
540,Zhichanghe
541,Angus
542,Yancheng
543,Jikamshi
544,Kitango
545,San Francisco
546,Bu‘eina
547,Pamplona/Iruña
548,Cruzeiro
549,Nangka
550,Valtimo
551,Rancabugel
552,Panggungwinong
553,Piraí
554,Lebedinovka
555,Cabalaoangan
556,Solna
557,Shangyanzhuang
558,Sŏnbong
559,Knivsta
560,Norashen
561,Dobryanka
562,Tong’an
563,Caen
564,Bendo
565,Peristerá
566,Buy
567,Bāzārak
568,Ciego de Ávila
569,Banana Village
570,Jhumra
571,Sindangjati
572,Pudoc
573,Gosë e Madhe
574,Svislach
575,Prokhladnyy
576,Atsugi
577,Koło
578,Липково
579,Farranacoush
580,Ikey
581,Paris La Défense
582,Ligang
583,Talangnan
584,Göteborg
585,Guji
586,Solnechnyy
587,Buenavista
588,Gedaliang
589,Klippan
590,Quảng Ngãi
591,Nowy Dwór Mazowiecki
592,Chagoda
593,Mabilog
594,Novi Pazar
595,Taibai
596,Khawrah
597,Marzhing
598,Alcabideche
599,Mafang
600,Golbey
601,Sharga
602,Svojat
603,Namp’o
604,La Ligua
605,Datangzhuang
606,Kampunglistrik
607,Taverny
608,Pingli
609,Jiangshi
610,Xiaolan
611,Kloulklubed
612,Dežanovac
613,Sumurgeneng
614,Sv. Anton
615,Jianqiao
616,Hamburg
617,Qingu
618,Tlogosari
619,Dallas
620,Sabnova
621,Kikinda
622,Ciheras
623,Cijayana
624,Guanshan
625,Vạn Giã
626,Bayangol
627,Ban Bang Kadi Pathum Thani
628,Seongnam-si
629,Nong Yasai
630,Elaiochóri
631,Huage
632,Auki
633,Woshui
634,Utan
635,Bourges
636,Hongtang
637,Taizhou
638,Pakalongan
639,Wailolung
640,Lille
641,Zhangzhen
642,Pulong Sampalok
643,Kuusjoki
644,Buliran
645,Tiron
646,Yelkhovka
647,Zhihe
648,Modis
649,Issenye
650,Brescia
651,Kloangrotat
652,Nova Friburgo
653,Vrangel’
654,Haradzyeya
655,Säter
656,San Isidro
657,Winston Salem
658,Jeruk
659,Xinhuang
660,Sechelt
661,København
662,Bako
663,San Francisco
664,Parizh
665,Gislaved
666,Ulme
667,Shujāābād
668,Krzczonów
669,Barreirinhas
670,Kupusina
671,Pandanrejokrajan
672,Cabrero
673,Marilao
674,Konče
675,Ajasse Ipo
676,Tamra
677,Bangus Kulon
678,T’ongch’ŏn-ŭp
679,Wafang
680,Longcheng
681,Vila do Maio
682,Dek’emhāre
683,Parrita
684,Pomichna
685,Sugihwaras
686,Ziliang
687,New York City
688,Sardasht
689,Denver
690,Yangju
691,Gualeguay
692,Langgen
693,Lavaltrie
694,Kousa
695,Rumat Heib
696,Burgos
697,Raszków
698,Ipís
699,General La Madrid
700,Chengjiao Chengguanzhen
701,Maputsoe
702,Carvalhal
703,Tabonok
704,Wolowiro
705,Seroa
706,Raków
707,Águas Formosas
708,Đắk Mil
709,Arlöv
710,Casa Nova
711,Passa Quatro
712,Majan
713,Panshi
714,Longquan
715,Kalyny
716,Novodvinsk
717,Caringin
718,Dongkengkou
719,Corrego Grande
720,Dushi
721,Gostilitsy
722,Krajan Ngrambingan
723,Bello
724,Nart
725,Panguna
726,Antipolo
727,Hallstavik
728,Figueira
729,Naga
730,Batawa
731,Masḩah
732,Agara
733,Taraban Timur
734,Huskvarna
735,Kilinochchi
736,Kolpny
737,Isnos
738,Aqtöbe
739,Vilkija
740,Nokaneng
741,Ugbokpo
742,Īlām
743,Orlová
744,Degan
745,Miramichi
746,Shuangmiaojie
747,Wangjing
748,Bila
749,Hexi
750,Gayam
751,Jindu
752,Kapuskasing
753,Stord
754,Jiaxing
755,Mandor
756,Žlutava
757,Yaroslavskaya
758,Shamakhi
759,Caen
760,Tomingad
761,Nantai
762,Svojat
763,Yinglan
764,Bibai
765,Victoria
766,Orangeville
767,Moravská Třebová
768,Edineţ
769,Galatás
770,Ikhtiman
771,Xiawa
772,Alcaldedíaz
773,Bansko
774,Milano
775,Metz
776,Sremska Mitrovica
777,Dubti
778,San Felipe
779,Izumi
780,Semirara
781,Ivanovskoye
782,Barcelona
783,Nereta
784,Yabuli
785,São Paio de Gramaços
786,Tangtu
787,Enjiang
788,Dunyāpur
789,Xucheng
790,Paris 09
791,Eskilstuna
792,Novokubansk
793,Hongping
794,København
795,Meirinhas
796,Weicheng
797,Montgomery
798,Yanglin
799,San Luis
800,Pakapasan Girang
801,Alejandro Roca
802,Tvarožná
803,La Estancia
804,Jiekeng
805,Paghmān
806,Nepeña
807,Duncan
808,Obala
809,Breia
810,Lublin
811,Vichy
812,Kishkenekol’
813,Bununu Kasa
814,Kaczory
815,Duy Xuyên
816,Ugljan
817,Flor da Rosa
818,Schifflange
819,Belozërsk
820,San Lorenzo
821,Oropéndolas
822,Malianchuan
823,Gesing
824,Bürenhayrhan
825,Tigaon
826,Daping
827,Bolobo
828,Weiyuankou
829,Machala
830,Tyoply Stan
831,Larkird
832,Ban Ko Lan
833,Gaspar
834,Abrantes
835,Vranisht
836,Grojec
837,Deir Ḥannā
838,Eaubonne
839,Yamaranguila
840,Wurno
841,Palcamayo
842,Lalauigan
843,Pawa
844,Batsari
845,Villefontaine
846,Darungan
847,Syrskoye
848,Elmira
849,Fuxing
850,Zhugang
851,Skopin
852,Kinlough
853,Podujeva
854,"Palmas De Gran Canaria, Las"
855,Pancheng
856,Kuala Terengganu
857,Lille
858,Lom Sak
859,Nong Saeng
860,Fengyang
861,Dashiren
862,Shuanggang
863,Yalukou
864,Hà Đông
865,Kota Ternate
866,Hule
867,Kruševac
868,Saint-Pierre
869,Tsaritsyno
870,Zaïo
871,Houmen
872,Stockholm
873,Apurawan
874,Aqtoghay
875,Hořice
876,Capinzal
877,Malishka
878,Wuli
879,Kyankwanzi
880,Muriaé
881,Ōmura
882,Waiklibang
883,Bankaw
884,Tamel
885,Lashio
886,Samal
887,Horka nad Moravou
888,Witihama
889,Pakemitan Dua
890,Kalimati
891,Ambilobe
892,Sukolilo
893,Johor Bahru
894,Göteborg
895,Nauchnyy Gorodok
896,Krasnyy Lyman
897,Przemyśl
898,Leskovac
899,Totness
900,Loures
901,Quinta
902,Iwaki
903,Panyingkiran
904,Zangzhai
905,Kamenka
906,Rääkkylä
907,Néa Palátia
908,Dayr Mawās
909,Kawungsari
910,Kez
911,Gandoang
912,Jaunpils
913,Kiikala
914,Maputsoe
915,Huangmu
916,Pakembangan
917,Xuri
918,San Miguel
919,Concepción de Ataco
920,Mników
921,Kristiansand S
922,Al Jawādīyah
923,Zuru
924,Pivijay
925,Bayt Dajan
926,Amgalang
927,Zhutian
928,Ban Talat Bueng
929,Menongue
930,Saint Pierre
931,Puyang
932,Daejeon
933,Jiaojie
934,San José
935,Minbu
936,Pingyin
937,Sacapulas
938,Luoshan
939,Baofeng
940,Binguang
941,Kuching
942,Alunda
943,Kurnāz
944,Lahar
945,Limoges
946,Paracambi
947,London
948,Huitán
949,Houston
950,Vinica
951,Heshui
952,Zhuangke
953,Gadzhiyevo
954,Zaoxi
955,Karangasem
956,Annecy
957,Lascano
958,Soasio
959,Utrecht (stad)
960,Alcácer do Sal
961,Smolenka
962,Dadaha
963,Wakaseko
964,Jefferson City
965,Allen
966,Bowen Island
967,Yeghegnut
968,Vyaz’ma
969,Köping
970,Askim
971,Vlasenica
972,Aracaju
973,Yenangyaung
974,Embalse
975,Baro
976,Pantaihambawang
977,Atsugi
978,Ferreiros
979,Iksan
980,Xihanling
981,Tierra Blanca
982,Guizi
983,Zhushan Chengguanzhen
984,Qinghe
985,Aldeia
986,Huangjinbu
987,Jacksonville
988,Bamencheng
989,Rasūlnagar
990,Muliang
991,Wucun
992,Pamedaran
993,Aitape
994,Komyshuvakha
995,Naukot
996,Muldersdriseloop
997,Paris 09
998,Giyon
999,Béoumi
1000,Hujra
